"num","num2","time","gender2","age2","lhs2","general.trust2","close.trust2","all2","unstable2","unpredictable2","hard2","safe2"
"1.0","1.0","305秒","2.0","21.0","181.0","30.0","96.0","12.0","5.0","5.0","5.0","3.0"
"2.0","2.0","608秒","2.0","22.0","145.0","22.0","83.0","20.0","2.0","4.0","2.0","4.0"
"3.0","3.0","482秒","2.0","20.0","177.0","20.0","70.0","16.0","3.0","5.0","3.0","3.0"
"4.0","4.0","819秒","2.0","21.0","153.0","22.0","90.0","21.0","2.0","4.0","2.0","5.0"
"5.0","5.0","164秒","1.0","24.0","142.0","15.0","80.0","22.0","3.0","2.0","3.0","6.0"
"6.0","6.0","198秒","2.0","25.0","167.0","26.0","97.0","13.0","5.0","6.0","6.0","6.0"
"7.0","7.0","252秒","2.0","19.0","144.0","19.0","68.0","19.0","1.0","7.0","4.0","7.0"
"8.0","8.0","278秒","2.0","21.0","155.0","17.0","74.0","13.0","5.0","5.0","6.0","5.0"
"9.0","9.0","287秒","1.0","22.0","177.0","23.0","68.0","16.0","4.0","4.0","4.0","4.0"
"10.0","10.0","1185秒","2.0","21.0","143.0","18.0","68.0","21.0","2.0","3.0","3.0","5.0"
"11.0","11.0","193秒","2.0","22.0","159.0","28.0","89.0","24.0","1.0","2.0","2.0","5.0"
"13.0","12.0","372秒","2.0","21.0","161.0","24.0","68.0","24.0","4.0","5.0","3.0","5.0"
"14.0","13.0","428秒","2.0","22.0","171.0","20.0","71.0","24.0","2.0","2.0","1.0","5.0"
"15.0","14.0","170秒","1.0","20.0","168.0","19.0","71.0","12.0","2.0","2.0","1.0","5.0"
"16.0","15.0","381秒","2.0","23.0","182.0","16.0","58.0","13.0","2.0","7.0","7.0","4.0"
"17.0","16.0","320秒","2.0","22.0","163.0","23.0","68.0","19.0","4.0","5.0","5.0","3.0"
"18.0","17.0","297秒","2.0","20.0","169.0","26.0","93.0","26.0","2.0","5.0","4.0","6.0"
"19.0","18.0","1354秒","2.0","22.0","140.0","19.0","72.0","15.0","1.0","1.0","3.0","7.0"
"20.0","19.0","155秒","2.0","24.0","164.0","19.0","74.0","16.0","4.0","5.0","5.0","5.0"
"22.0","20.0","172秒","1.0","21.0","166.0","18.0","82.0","16.0","4.0","5.0","4.0","5.0"
"23.0","21.0","555秒","1.0","27.0","149.0","28.0","96.0","22.0","3.0","7.0","3.0","5.0"
"24.0","22.0","649秒","2.0","47.0","174.0","21.0","95.0","22.0","7.0","1.0","1.0","7.0"
"25.0","23.0","282秒","1.0","22.0","158.0","23.0","79.0","15.0","1.0","1.0","1.0","1.0"
"26.0","24.0","226秒","2.0","22.0","127.0","16.0","68.0","14.0","4.0","5.0","5.0","5.0"
"27.0","25.0","388秒","2.0","22.0","135.0","25.0","95.0","24.0","5.0","6.0","5.0","6.0"
"28.0","26.0","1787秒","2.0","20.0","173.0","15.0","68.0","15.0","2.0","2.0","2.0","6.0"
"29.0","27.0","550秒","1.0","45.0","160.0","22.0","86.0","16.0","4.0","4.0","5.0","4.0"
"30.0","28.0","167秒","2.0","20.0","192.0","24.0","102.0","12.0","7.0","7.0","1.0","7.0"
"31.0","29.0","725秒","2.0","39.0","125.0","21.0","83.0","15.0","6.0","6.0","6.0","6.0"
"32.0","30.0","482秒","2.0","19.0","138.0","18.0","78.0","15.0","7.0","6.0","3.0","7.0"
"33.0","31.0","694秒","1.0","56.0","135.0","24.0","87.0","24.0","4.0","5.0","6.0","6.0"
"34.0","32.0","527秒","1.0","49.0","130.0","19.0","77.0","16.0","1.0","2.0","2.0","5.0"
"35.0","33.0","510秒","1.0","40.0","217.0","20.0","104.0","20.0","4.0","4.0","4.0","4.0"
"36.0","34.0","322秒","2.0","20.0","121.0","21.0","92.0","17.0","2.0","2.0","3.0","3.0"
"37.0","35.0","832秒","1.0","21.0","160.0","24.0","87.0","17.0","4.0","6.0","3.0","6.0"
"38.0","36.0","542秒","2.0","45.0","130.0","24.0","62.0","24.0","4.0","4.0","4.0","5.0"
"39.0","37.0","258秒","2.0","21.0","163.0","22.0","77.0","20.0","2.0","2.0","2.0","6.0"
"40.0","38.0","641秒","1.0","48.0","146.0","30.0","103.0","22.0","1.0","4.0","5.0","6.0"
"41.0","39.0","1093秒","2.0","48.0","146.0","22.0","84.0","28.0","7.0","1.0","1.0","7.0"
"42.0","40.0","635秒","1.0","48.0","159.0","24.0","87.0","18.0","1.0","1.0","1.0","7.0"
"43.0","41.0","592秒","2.0","42.0","173.0","24.0","92.0","21.0","4.0","4.0","3.0","5.0"
"44.0","42.0","316秒","1.0","21.0","125.0","24.0","86.0","13.0","2.0","2.0","4.0","5.0"
"45.0","43.0","450秒","2.0","56.0","175.0","20.0","74.0","17.0","5.0","5.0","6.0","5.0"
"46.0","44.0","979秒","2.0","46.0","170.0","21.0","87.0","15.0","6.0","6.0","1.0","6.0"
"47.0","45.0","514秒","2.0","46.0","136.0","24.0","53.0","26.0","4.0","6.0","5.0","6.0"
"48.0","46.0","460秒","2.0","23.0","168.0","24.0","71.0","7.0","1.0","1.0","1.0","5.0"
"49.0","47.0","863秒","1.0","63.0","162.0","19.0","95.0","17.0","6.0","7.0","6.0","2.0"
"50.0","48.0","864秒","1.0","63.0","162.0","19.0","95.0","17.0","5.0","5.0","2.0","5.0"
"51.0","49.0","701秒","2.0","45.0","167.0","16.0","75.0","10.0","5.0","5.0","2.0","5.0"
"52.0","50.0","857秒","2.0","52.0","176.0","23.0","74.0","23.0","1.0","7.0","7.0","1.0"
"53.0","51.0","760秒","2.0","20.0","150.0","21.0","59.0","24.0","1.0","1.0","1.0","2.0"
"54.0","52.0","787秒","2.0","53.0","151.0","21.0","104.0","21.0","2.0","2.0","2.0","6.0"
"55.0","53.0","282秒","1.0","20.0","144.0","19.0","68.0","18.0","6.0","1.0","2.0","6.0"
"56.0","54.0","386秒","2.0","40.0","176.0","29.0","85.0","22.0","3.0","3.0","4.0","4.0"
"58.0","55.0","681秒","1.0","55.0","155.0","23.0","102.0","28.0","7.0","1.0","1.0","7.0"
"59.0","56.0","357秒","1.0","21.0","168.0","26.0","91.0","23.0","4.0","4.0","4.0","4.0"
"60.0","57.0","391秒","2.0","55.0","207.0","23.0","91.0","13.0","1.0","1.0","1.0","7.0"
"61.0","58.0","285秒","2.0","40.0","203.0","24.0","87.0","14.0","2.0","2.0","3.0","6.0"
"62.0","59.0","637秒","2.0","21.0","133.0","19.0","95.0","16.0","7.0","4.0","4.0","4.0"
"63.0","60.0","883秒","2.0","20.0","155.0","19.0","66.0","20.0","5.0","5.0","5.0","5.0"
"64.0","61.0","448秒","2.0","21.0","122.0","22.0","90.0","17.0","3.0","4.0","4.0","3.0"
"65.0","62.0","659秒","1.0","47.0","192.0","24.0","84.0","28.0","3.0","4.0","3.0","6.0"
"66.0","63.0","423秒","2.0","50.0","141.0","24.0","100.0","22.0","4.0","5.0","5.0","7.0"
"67.0","64.0","424秒","2.0","50.0","141.0","24.0","100.0","22.0","1.0","1.0","1.0","7.0"
"68.0","65.0","187秒","2.0","25.0","186.0","24.0","43.0","4.0","7.0","1.0","1.0","7.0"
"69.0","66.0","409秒","1.0","21.0","129.0","25.0","74.0","19.0","7.0","1.0","1.0","7.0"
"70.0","67.0","854秒","2.0","22.0","151.0","24.0","81.0","26.0","7.0","7.0","7.0","1.0"
"71.0","68.0","2052秒","2.0","50.0","186.0","22.0","80.0","17.0","7.0","2.0","2.0","6.0"
"72.0","69.0","678秒","2.0","24.0","152.0","22.0","85.0","21.0","1.0","1.0","3.0","7.0"
"73.0","70.0","456秒","1.0","56.0","164.0","25.0","100.0","20.0","4.0","4.0","4.0","5.0"
"74.0","71.0","463秒","2.0","21.0","143.0","24.0","71.0","17.0","3.0","4.0","2.0","6.0"
"75.0","72.0","958秒","2.0","54.0","159.0","24.0","77.0","16.0","1.0","2.0","3.0","2.0"
"76.0","73.0","291秒","2.0","38.0","214.0","24.0","101.0","25.0","4.0","5.0","4.0","6.0"
"77.0","74.0","923秒","2.0","56.0","205.0","18.0","69.0","26.0","6.0","2.0","4.0","4.0"
"78.0","75.0","384秒","1.0","22.0","126.0","20.0","100.0","20.0","2.0","3.0","1.0","7.0"
"79.0","76.0","1143秒","2.0","39.0","166.0","25.0","104.0","24.0","2.0","1.0","1.0","6.0"
"80.0","77.0","524秒","2.0","45.0","125.0","18.0","91.0","22.0","1.0","7.0","3.0","7.0"
"81.0","78.0","315秒","1.0","23.0","134.0","17.0","76.0","23.0","1.0","3.0","2.0","6.0"
"82.0","79.0","613秒","2.0","20.0","166.0","23.0","69.0","17.0","1.0","1.0","7.0","7.0"
"83.0","80.0","532秒","2.0","22.0","171.0","24.0","77.0","18.0","3.0","3.0","2.0","7.0"
"84.0","81.0","570秒","2.0","37.0","183.0","22.0","83.0","16.0","5.0","4.0","4.0","6.0"
"85.0","82.0","260秒","2.0","22.0","164.0","21.0","68.0","20.0","4.0","4.0","4.0","6.0"
"86.0","83.0","574秒","1.0","52.0","113.0","16.0","78.0","22.0","6.0","2.0","4.0","4.0"
"87.0","84.0","827秒","2.0","45.0","182.0","20.0","58.0","20.0","2.0","5.0","2.0","5.0"
"88.0","85.0","330秒","2.0","48.0","182.0","23.0","92.0","16.0","1.0","2.0","4.0","5.0"
"89.0","86.0","1000秒","2.0","46.0","160.0","21.0","68.0","24.0","2.0","3.0","4.0","5.0"
"90.0","87.0","277秒","2.0","21.0","140.0","23.0","68.0","19.0","5.0","4.0","5.0","6.0"
"91.0","88.0","891秒","2.0","54.0","187.0","24.0","97.0","26.0","2.0","3.0","1.0","6.0"
"92.0","89.0","801秒","2.0","46.0","173.0","19.0","73.0","23.0","3.0","4.0","5.0","7.0"
"93.0","90.0","268秒","2.0","23.0","150.0","21.0","77.0","16.0","1.0","2.0","2.0","7.0"
"94.0","91.0","638秒","2.0","37.0","186.0","19.0","81.0","17.0","1.0","5.0","1.0","6.0"
"95.0","92.0","510秒","2.0","28.0","195.0","19.0","76.0","20.0","4.0","4.0","5.0","5.0"
"96.0","93.0","618秒","2.0","47.0","156.0","21.0","104.0","15.0","3.0","4.0","4.0","4.0"
"97.0","94.0","618秒","1.0","46.0","172.0","22.0","85.0","18.0","4.0","2.0","4.0","6.0"
"98.0","95.0","451秒","2.0","47.0","197.0","30.0","110.0","21.0","3.0","4.0","6.0","4.0"
"99.0","96.0","298秒","2.0","37.0","184.0","24.0","71.0","16.0","5.0","4.0","4.0","7.0"
"100.0","97.0","690秒","1.0","54.0","169.0","24.0","114.0","26.0","3.0","6.0","1.0","7.0"
"101.0","98.0","327秒","1.0","43.0","175.0","23.0","73.0","12.0","5.0","3.0","4.0","4.0"
"102.0","99.0","241秒","1.0","21.0","152.0","20.0","90.0","13.0","1.0","2.0","2.0","7.0"
"103.0","100.0","704秒","1.0","46.0","172.0","19.0","82.0","18.0","6.0","6.0","5.0","5.0"
"104.0","101.0","123秒","1.0","23.0","168.0","20.0","87.0","16.0","5.0","6.0","6.0","6.0"
"105.0","102.0","899秒","2.0","50.0","161.0","16.0","85.0","22.0","1.0","1.0","5.0","1.0"
"106.0","103.0","463秒","2.0","45.0","166.0","19.0","72.0","20.0","6.0","5.0","3.0","6.0"
"107.0","104.0","680秒","2.0","50.0","178.0","24.0","98.0","22.0","1.0","1.0","1.0","1.0"
"108.0","105.0","307秒","1.0","27.0","179.0","26.0","68.0","16.0","3.0","4.0","2.0","5.0"
"109.0","106.0","399秒","1.0","49.0","201.0","22.0","102.0","20.0","7.0","1.0","1.0","7.0"
"110.0","107.0","399秒","1.0","49.0","201.0","22.0","102.0","20.0","4.0","4.0","4.0","4.0"
"111.0","108.0","320秒","2.0","46.0","186.0","30.0","119.0","24.0","2.0","2.0","3.0","3.0"
"112.0","109.0","560秒","2.0","43.0","171.0","14.0","86.0","25.0","2.0","2.0","3.0","3.0"
"113.0","110.0","674秒","2.0","36.0","193.0","28.0","85.0","25.0","1.0","1.0","1.0","3.0"
"114.0","111.0","1227秒","2.0","30.0","131.0","18.0","91.0","18.0","1.0","1.0","1.0","4.0"
"115.0","112.0","1174秒","2.0","62.0","160.0","27.0","98.0","13.0","2.0","2.0","1.0","6.0"
"116.0","113.0","1688秒","1.0","48.0","126.0","21.0","88.0","25.0","3.0","3.0","3.0","3.0"
"117.0","114.0","1584秒","1.0","38.0","190.0","23.0","90.0","17.0","7.0","1.0","7.0","4.0"
"118.0","115.0","823秒","2.0","36.0","172.0","23.0","91.0","17.0","1.0","2.0","2.0","6.0"
"119.0","116.0","630秒","2.0","42.0","165.0","21.0","68.0","27.0","5.0","4.0","3.0","5.0"
"120.0","117.0","1214秒","2.0","53.0","155.0","18.0","65.0","26.0","4.0","4.0","4.0","5.0"
"121.0","118.0","7551秒","2.0","45.0","180.0","24.0","94.0","22.0","1.0","1.0","1.0","6.0"
"122.0","119.0","387秒","1.0","21.0","234.0","22.0","106.0","17.0","1.0","2.0","1.0","6.0"
"123.0","120.0","9065秒","2.0","49.0","179.0","23.0","100.0","28.0","7.0","1.0","1.0","7.0"
"124.0","121.0","330秒","1.0","50.0","158.0","25.0","107.0","27.0","4.0","7.0","3.0","7.0"
"125.0","122.0","537秒","2.0","58.0","151.0","20.0","78.0","19.0","1.0","1.0","1.0","7.0"
"126.0","123.0","502秒","2.0","40.0","164.0","24.0","70.0","21.0","1.0","1.0","1.0","6.0"
"127.0","124.0","715秒","2.0","46.0","170.0","23.0","85.0","27.0","2.0","2.0","3.0","2.0"
"128.0","125.0","499秒","2.0","55.0","183.0","25.0","95.0","14.0","1.0","3.0","3.0","4.0"
"129.0","126.0","475秒","1.0","48.0","182.0","27.0","111.0","28.0","1.0","1.0","1.0","6.0"
"130.0","127.0","715秒","2.0","59.0","174.0","21.0","75.0","21.0","5.0","4.0","6.0","5.0"
"131.0","128.0","136秒","2.0","55.0","175.0","22.0","85.0","18.0","1.0","1.0","1.0","7.0"
"132.0","129.0","1034秒","2.0","49.0","148.0","24.0","70.0","22.0","4.0","2.0","2.0","5.0"
"133.0","130.0","258秒","2.0","54.0","185.0","17.0","106.0","16.0","3.0","5.0","4.0","6.0"
"134.0","131.0","820秒","2.0","47.0","137.0","18.0","83.0","13.0","2.0","2.0","3.0","5.0"
"135.0","132.0","285秒","1.0","46.0","158.0","22.0","58.0","22.0","7.0","1.0","7.0","7.0"
"136.0","133.0","415秒","2.0","34.0","183.0","30.0","95.0","28.0","5.0","5.0","5.0","4.0"
"137.0","134.0","283秒","2.0","47.0","216.0","23.0","96.0","12.0","1.0","1.0","1.0","1.0"
"138.0","135.0","472秒","2.0","44.0","166.0","12.0","90.0","28.0","1.0","1.0","1.0","7.0"
"139.0","136.0","374秒","2.0","37.0","191.0","22.0","108.0","17.0","6.0","5.0","6.0","5.0"
"140.0","137.0","916秒","2.0","54.0","204.0","27.0","106.0","28.0","1.0","1.0","1.0","7.0"
"141.0","138.0","309秒","1.0","50.0","149.0","25.0","94.0","27.0","3.0","4.0","4.0","4.0"
"142.0","139.0","1026秒","1.0","48.0","142.0","22.0","91.0","25.0","1.0","1.0","1.0","7.0"
"143.0","140.0","293秒","2.0","50.0","205.0","14.0","102.0","12.0","1.0","1.0","1.0","6.0"
"144.0","141.0","513秒","2.0","45.0","147.0","20.0","86.0","21.0","2.0","1.0","1.0","5.0"
"145.0","142.0","295秒","2.0","27.0","170.0","24.0","107.0","16.0","6.0","6.0","6.0","6.0"
"146.0","143.0","302秒","2.0","29.0","140.0","12.0","83.0","12.0","1.0","2.0","2.0","2.0"
"147.0","144.0","514秒","2.0","55.0","183.0","24.0","105.0","28.0","1.0","6.0","6.0","5.0"
